Id,ZigBeeT,ZigBeeH,Temp,Hum,Light,Species
1,0.197,0.59,0.314,0.386,0.992,good
2,0.203,0.5,0.296,0.484,0.993,good
3,0.203,0.5,0.288,0.579,0.988,good
4,0.197,0.59,0.288,0.579,0.988,good
5,0.203,0.49,0.283,0.556,0.993,good
6,0.197,0.59,0.278,0.535,0.993,good
7,0.203,0.49,0.278,0.535,0.993,good
8,0.198,0.59,0.276,0.612,0.994,good
9,0.203,0.49,0.276,0.612,0.994,good
10,0.198,0.59,0.275,0.6,0.994,good
11,0.203,0.48,0.275,0.6,0.994,good
12,0.198,0.59,0.257,0.613,0.992,good
13,0.198,0.59,0.255,0.629,0.992,good
14,0.198,0.58,0.266,0.494,0.989,good
15,0.197,0.58,0.268,0.487,0.991,good
16,0.183,0.53,0.201,0.522,0.993,good
17,0.191,0.42,0.201,0.522,0.993,good
18,0.182,0.53,0.2,0.519,0.994,good
19,0.191,0.41,0.201,0.528,0.985,good
20,0.191,0.41,0.203,0.513,0.967,good
21,0.2,0.45,0.268,0.487,0.99,good
22,0.197,0.58,0.268,0.487,0.99,good
23,0.197,0.57,0.266,0.487,0.989,good
24,0.2,0.45,0.267,0.593,0.989,good
25,0.197,0.57,0.266,0.505,0.989,good
26,0.199,0.45,0.264,0.473,0.9895,good
27,0.197,0.57,0.253,0.497,0.989,good
28,0.199,0.45,0.253,0.497,0.989,good
29,0.197,0.57,0.252,0.537,0.989,good
30,0.199,0.45,0.252,0.537,0.989,good
31,0.199,0.46,0.254,0.506,0.988,good
32,0.197,0.57,0.254,0.506,0.988,good
33,0.197,0.57,0.257,0.554,0.988,good
34,0.199,0.46,0.257,0.554,0.988,good
35,0.197,0.57,0.259,0.535,0.988,good
36,0.198,0.46,0.259,0.535,0.988,good
37,0.198,0.46,0.253,0.517,0.987,good
38,0.196,0.57,0.253,0.517,0.987,good
39,0.196,0.57,0.25,0.548,0.987,good
40,0.198,0.46,0.25,0.548,0.987,good
41,0.196,0.57,0.251,0.545,0.987,good
42,0.198,0.46,0.251,0.545,0.987,good
43,0.196,0.57,0.248,0.577,0.986,good
44,0.197,0.46,0.248,0.577,0.986,good
45,0.196,0.57,0.246,0.527,0.986,good
46,0.197,0.46,0.246,0.527,0.986,good
47,0.196,0.57,0.243,0.584,0.985,good
48,0.196,0.46,0.243,0.584,0.985,good
49,0.196,0.56,0.242,0.553,0.985,good
50,0.196,0.46,0.242,0.553,0.985,good
51,0.196,0.56,0.238,0.552,0.985,good
52,0.196,0.46,0.238,0.552,0.985,good
53,0.195,0.56,0.242,0.57,0.983,good
54,0.195,0.46,0.242,0.57,0.983,good
55,0.195,0.56,0.235,0.56,0.983,good
56,0.194,0.47,0.235,0.56,0.983,good
57,0.195,0.56,0.234,0.57,0.982,good
58,0.194,0.47,0.234,0.57,0.982,good
59,0.204,0.57,0.275,0.626,0.995,good
60,0.21,0.63,0.275,0.626,0.995,good
61,0.204,0.56,0.286,0.592,0.995,good
62,0.211,0.63,0.286,0.592,0.995,good
63,0.204,0.56,0.284,0.593,0.993,good
64,0.211,0.62,0.284,0.593,0.993,good
65,0.204,0.56,0.28,0.574,0.992,good
66,0.211,0.62,0.28,0.574,0.992,good
67,0.204,0.56,0.278,0.623,0.99,good
68,0.211,0.62,0.278,0.623,0.99,good
69,0.204,0.56,0.275,0.617,0.99,good
70,0.211,0.63,0.275,0.617,0.99,good
71,0.213,0.25,0.248,0.625,0.99,normal
72,0.213,0.25,0.249,0.603,0.987,normal
73,0.232,0.18,0.249,0.603,0.987,normal
74,0.213,0.25,0.251,0.63,0.988,normal
75,0.311,0.17,0.252,0.659,0.985,normal
76,0.217,0.37,0.27,0.592,0.982,normal
77,0.217,0.38,0.271,0.533,0.99,normal
78,0.217,0.36,0.268,0.504,0.989,normal
79,0.216,0.36,0.267,0.515,0.986,normal
80,0.216,0.37,0.267,0.532,0.9895,normal
81,0.216,0.38,0.267,0.542,0.9895,normal
82,0.217,0.39,0.271,0.601,0.9895,normal
83,0.216,0.38,0.271,0.554,0.992,normal
84,0.216,0.39,0.268,0.549,0.988,normal
85,0.216,0.39,0.266,0.537,0.989,normal
86,0.216,0.39,0.265,0.563,0.988,normal
87,0.216,0.18,0.265,0.593,0.985,normal
88,0.217,0.19,0.266,0.574,0.989,normal
89,0.216,0.19,0.263,0.571,0.988,normal
90,0.216,0.25,0.261,0.53,0.981,normal
91,0.216,0.23,0.261,0.571,0.978,normal
92,0.216,0.21,0.259,0.56,0.987,normal
93,0.216,0.21,0.258,0.588,0.987,normal
94,0.216,0.2,0.259,0.595,0.985,normal
95,0.216,0.21,0.256,0.567,0.984,normal
96,0.215,0.22,0.254,0.579,0.985,normal
97,0.215,0.23,0.249,0.565,0.985,normal
98,0.215,0.25,0.248,0.57,0.985,normal
99,0.214,0.25,0.247,0.574,0.986,normal
100,0.214,0.25,0.245,0.634,0.98,normal
101,0.213,0.25,0.248,0.632,0.986,normal
102,0.25,0.53,0.319,0.573,0.98,normal
103,0.247,0.51,0.319,0.573,0.98,normal
104,0.249,0.53,0.31,0.618,0.994,normal
105,0.247,0.51,0.31,0.618,0.994,normal
106,0.223,0.38,0.314,0.672,0.994,normal
107,0.246,0.49,0.314,0.672,0.994,normal
108,0.223,0.37,0.307,0.688,0.992,normal
109,0.246,0.49,0.307,0.688,0.992,normal
110,0.223,0.37,0.307,0.688,0.992,normal
111,0.246,0.48,0.307,0.688,0.992,normal
112,0.223,0.37,0.308,0.696,0.991,normal
113,0.246,0.48,0.308,0.696,0.991,normal
114,0.223,0.36,0.315,0.631,0.997,normal
115,0.246,0.48,0.315,0.631,0.997,normal
116,0.223,0.36,0.321,0.666,0.997,normal
117,0.246,0.48,0.321,0.666,0.997,normal
118,0.223,0.36,0.317,0.629,0.988,normal
119,0.246,0.47,0.317,0.629,0.988,normal
120,0.224,0.36,0.317,0.641,0.988,normal
121,0.246,0.47,0.317,0.641,0.988,normal
122,0.224,0.36,0.314,0.666,0.988,normal
123,0.246,0.47,0.314,0.666,0.988,normal
124,0.224,0.36,0.31,0.687,0.988,normal
125,0.247,0.47,0.31,0.687,0.988,normal
126,0.225,0.35,0.311,0.678,0.989,normal
127,0.247,0.47,0.311,0.678,0.989,normal
128,0.225,0.35,0.313,0.67,0.992,normal
129,0.248,0.47,0.313,0.67,0.992,normal
130,0.226,0.35,0.321,0.632,0.994,normal
131,0.248,0.47,0.321,0.632,0.994,normal
132,0.226,0.35,0.328,0.617,0.991,normal
133,0.249,0.47,0.328,0.617,0.991,normal
134,0.227,0.35,0.33,0.616,0.992,normal
135,0.249,0.47,0.33,0.616,0.992,normal
136,0.227,0.35,0.331,0.638,0.988,normal
137,0.25,0.47,0.331,0.638,0.988,normal
138,0.228,0.35,0.329,0.585,0.992,normal
139,0.251,0.47,0.329,0.585,0.992,normal
140,0.228,0.35,0.333,0.581,0.992,normal
141,0.251,0.46,0.333,0.581,0.992,normal
142,0.229,0.35,0.33,0.627,0.987,normal
143,0.252,0.46,0.33,0.627,0.987,normal
144,0.23,0.35,0.329,0.581,0.988,normal
145,0.253,0.46,0.329,0.581,0.988,normal
146,0.231,0.35,0.329,0.657,0.989,normal
147,0.253,0.46,0.329,0.657,0.989,normal
148,0.237,0,0.0026,0.607,0.277,bad
149,0.235,0,0.0026,0.603,0.287,bad
150,0.234,0,0.262,0.599,0.303,bad
151,0.234,0,0.263,0.597,0.301,bad
152,0.233,0,0.263,0.595,0.311,bad
153,0.233,0,0.263,0.597,0.3,bad
154,0.232,0,0.264,0.589,0.27,bad
155,0.232,0,0.264,0.588,0.315,bad
156,0.231,0,0.264,0.594,0.314,bad
157,0.231,0,0.264,0.588,0.313,bad
158,0.231,0,0.282,0.561,0.295,bad
159,0.231,0,0.282,0.559,0.325,bad
160,0.231,0,0.275,0.558,0.329,bad
161,0.231,0,0.27,0.569,0.315,bad
162,0.238,0,0.261,0.622,0.302,bad
163,0.238,0,0.261,0.617,0.354,bad
164,0.238,0,0.262,0.615,0.334,bad
165,0.238,0,0.265,0.61,0.294,bad
166,0.239,0,0.265,0.611,0.339,bad
167,0.239,0,0.266,0.609,0.323,bad
168,0.239,0,0.268,0.603,0.33,bad
169,0.24,0,0.268,0.605,0.321,bad
170,0.241,0,0.269,0.601,0.32,bad
171,0.24,0,0.268,0.6,0.313,bad
172,0.241,0,0.269,0.597,0.304,bad
173,0.241,0,0.269,0.598,0.321,bad
174,0.241,0,0.265,0.61,0.272,bad
175,0.241,0,0.27,0.596,0.314,bad
176,0.242,0,0.277,0.583,0.274,bad
177,0.244,0,0.272,0.599,0.31,bad
178,0.241,0,0.269,0.597,0.304,bad
179,0.241,0,0.269,0.598,0.321,bad
180,0.241,0,0.265,0.61,0.272,bad
181,0.241,0,0.27,0.596,0.314,bad
182,0.242,0,0.277,0.583,0.274,bad
183,0.244,0,0.272,0.599,0.31,bad
184,0.266,0,0.266,0.69,0.274,bad
185,0.27,0,0.276,0.667,0.279,bad
186,0.266,0,0.275,0.667,0.339,bad
187,0.263,0,0.275,0.665,0.311,bad
188,0.261,0,0.275,0.665,0.34,bad
189,0.267,0,0.275,0.668,0.336,bad
190,0.259,0,0.276,0.67,0.317,bad
191,0.257,0,0.276,0.665,0.313,bad
192,0.255,0,0.276,0.663,0.335,bad
193,0.253,0,0.276,0.666,0.318,bad
194,0.253,0,0.278,0.663,0.328,bad
195,0.251,0,0.278,0.659,0.315,bad
196,0.249,0,0.279,0.662,0.353,bad
197,0.249,0,0.279,0.657,0.309,bad
198,0.247,0,0.279,0.656,0.335,bad
199,0.246,0,0.28,0.654,0.344,bad
200,0.246,0,0.281,0.651,0.328,bad
201,0.245,0,0.281,0.652,0.301,bad
202,0.244,0,0.282,0.646,0.309,bad
203,0.243,0,0.285,0.636,0.323,bad
204,0.243,0,0.285,0.638,0.319,bad
205,0.242,0,0.284,0.642,0.322,bad
206,0.242,0,0.284,0.643,0.342,bad
207,0.242,0,0.283,0.648,0.333,bad
208,0.242,0,0.283,0.643,0.348,bad
209,0.242,0,0.283,0.648,0.3019,bad
210,0.241,0,0.283,0.647,0.317,bad
211,0.241,0,0.284,0.647,0.288,bad
212,0.241,0,0.284,0.643,0.317,bad
213,0.241,0,0.286,0.642,0.323,bad
214,0.241,0,0.286,0.644,0.311,bad
215,0.241,0,0.287,0.648,0.3146,bad
216,0.241,0,0.287,0.632,0.306,bad
217,0.241,0,0.287,0.636,0.31,bad
218,0.241,0,0.288,0.632,0.306,bad
219,0.241,0,0.288,0.636,0.321,bad
220,0.241,0,0.288,0.637,0.288,bad
221,0.241,0,0.288,0.643,0.31,bad
222,0.242,0,0.284,0.67,0.259,bad
223,0.242,0,0.286,0.646,0.326,bad
224,0.242,0,0.289,0.643,0.339,bad
225,0.242,0,0.292,0.629,0.288,bad
226,0.242,0,0.292,0.63,0.316,bad
227,0.242,0,0.291,0.63,0.3,bad
228,0.242,0,0.291,0.63,0.278,bad
229,0.242,0,0.291,0.631,0.294,bad
230,0.243,0,0.29,0.637,0.304,bad
231,0.243,0,0.291,0.63,0.301,bad
232,0.242,0,0.289,0.587,0.303,bad
233,0.242,0,0.287,0.59,0.304,bad
234,0.242,0,0.286,0.625,0.293,bad
235,0.242,0,0.285,0.644,0.293,bad
236,0.242,0,0.284,0.641,0.304,bad
237,0.242,0,0.282,0.624,0.304,bad
238,0.242,0,0.283,0.656,0.293,bad
239,0.241,0,0.282,0.664,0.295,bad
240,0.241,0,0.281,0.658,0.3,bad
241,0.241,0,0.281,0.672,0.292,bad
242,0.241,0,0.28,0.653,0.303,bad
243,0.241,0,0.279,0.648,0.297,bad
244,0.241,0,0.278,0.671,0.297,bad
245,0.241,0,0.279,0.685,0.298,bad
246,0.241,0,0.28,0.682,0.298,bad
247,0.241,0,0.279,0.652,0.296,bad
